,platform_id,high_RPM
0,10312820,1537.1215105679917
1,10312916,1448.1960403047972
2,10313137,1563.79915164695
3,10313139,1572.6916986732695
4,10313204,1448.1960403047972
5,10315307,1537.1215105679917
6,10315319,1546.014057594311
7,10315713,1546.014057594311
8,10315744,1457.0885873311167
9,10315748,1457.0885873311167
10,10315991,1501.5513224627139
11,10317698,1563.79915164695
12,10317767,1546.014057594311
13,10317785,1554.9066046206306
14,10318448,1448.1960403047972
15,10318529,1501.5513224627139
16,10318545,1546.014057594311
17,10318567,1563.79915164695
18,10318612,1563.79915164695
19,10318717,1448.1960403047972
20,10318814,1510.4438694890334
21,10318860,1546.014057594311
22,10319181,1510.4438694890334
23,10320627,1448.1960403047972
24,10321465,1457.0885873311167
25,10321719,1457.0885873311167
26,10321748,1483.766228410075
27,10321795,1448.1960403047972
28,10322062,1563.79915164695
29,10322073,1448.1960403047972
30,10322122,1554.9066046206306
31,10322210,1465.981134357436
32,10322596,1563.79915164695
33,10322969,1448.1960403047972
34,10323445,1554.9066046206306
35,211130,1457.0885873311167
36,212624,1483.766228410075
37,213348,1510.4438694890334
38,301742,1554.9066046206306
39,312224,1554.9066046206306
40,312234,1448.1960403047972
41,312312,1465.981134357436
42,312400,1483.766228410075
43,312402,1483.766228410075
44,312413,1554.9066046206306
45,312435,1492.6587754363945
46,312485,1990.6414089102827
47,313122,1546.014057594311
